run	aime@1	aime@16	amc@1	amc@16	math@1	math@16	olympiad_bench@1	olympiad_bench@16	aime_l	amc_l	math_l	olympiad_bench_l	avg@1	avg@16	avg_len
e3_1_5b_grpo_id_s32_1_metrics.	26.2500	67.5941	62.5000	90.2238	73.9750	95.7995	47.4352	74.1062	4903.51	3707.90	2586.65	3673.47	52.5400	81.9309	3717.8822
e3_1_5b_grpo_2_id_s32_1_metrics.	28.4375	64.9286	62.6130	89.9429	75.3062	96.7096	48.8333	76.6595	4922.78	3585.60	2412.52	3595.06	53.7975	82.0602	3628.9905
e3_1_5b_e3_id_s32_1_metrics.	26.0417	62.9543	61.9729	91.3917	76.0250	96.2792	49.1343	75.0348	4844.48	3630.22	2440.30	3578.67	53.2935	81.4150	3623.4187
e3_1_5b_e3_2_id_s32_1_metrics.	31.3542	64.8847	61.9352	87.1764	74.8062	96.2088	48.0741	75.1238	5042.84	3706.65	2492.14	3727.21	54.0424	80.8484	3742.2115
e3_1_5b_e3_3_id_s32_1_metrics.	27.7083	67.3984	61.1446	89.1866	73.3125	96.7199	45.7037	75.2917	4611.94	3416.90	2295.73	3412.06	51.9673	82.1491	3434.1606
dGRPO_1_5b_0.00003_id_s32_1_metrics.	23.1250	58.2355	59.9398	88.1676	72.7062	96.4137	45.2824	74.9864	5119.44	3960.79	2733.89	3938.14	50.2634	79.4508	3938.0656
dGRPO_1_5b_0.00001_id_s32_1_metrics.	34.6875	70.0035	64.3449	90.5816	77.1000	95.8085	49.2315	75.5310	4824.92	3527.95	2324.36	3519.21	56.3410	82.9812	3549.1076
dgrpo_1_5b_0.00001_2_id_s32_1_metrics.	25.4167	60.3467	61.8976	87.1175	76.6625	96.7103	49.7824	75.3306	4745.41	3470.93	2355.96	3365.77	53.4398	79.8763	3484.5155
dGRPO_1_5b_0.00001_3_id_s32_1_metrics.	25.9375	58.0131	61.1446	88.7802	76.1312	95.7636	48.9491	74.2490	5288.95	4069.52	2817.13	4110.55	53.0406	79.2014	4071.5360
dGRPO_1_5b_0.00005_id_s32_1_metrics.	28.3333	62.6564	61.4081	88.4235	74.8625	95.9398	47.8565	75.7073	4895.76	3750.38	2531.92	3685.88	53.1151	80.6818	3715.9824
dGRPO_0.5_seqq_norm_id_s32_1_metrics.	25.1042	56.8926	60.2410	87.7816	75.1938	96.3494	47.5370	75.2920	4882.37	3699.88	2477.67	3602.90	52.0190	79.0789	3665.7068
dGRPO_1.0_seqq_norm_id_s32_1_metrics.	25.2083	62.9112	60.1657	88.0268	71.3438	96.5478	44.7454	74.7703	4908.14	3770.06	2718.78	3807.81	50.3658	80.5640	3801.1967
dGRPO_1_5b_1.0_a_norm_id_s32_1_metrics.	24.4792	57.6852	58.5467	89.6008	72.8875	96.2596	45.9861	74.9387	5390.10	5012.82	4223.48	4918.26	50.4749	79.6211	4886.1657
dGRPO_1_5b_1.0_r_norm_dyn_id_s32_1_metrics.	6.9792	34.6167	26.4684	78.8362	39.1250	91.5902	19.8333	63.2872	6362.73	6322.76	6334.93	6350.11	23.1015	67.0826	6342.6335
dGRPO_1_5b_0.5_r_norm_id_s32_1_metrics.	6.5625	27.5081	28.0120	76.1017	42.5438	90.6867	20.5602	63.0019	6784.75	6816.55	6826.08	6810.09	24.4196	64.3246	6809.3687
dGRPO_1_5b_1.0_a_norm_dyn_id_s32_1_metrics.	26.3542	58.7026	60.8810	87.5849	71.6937	96.0802	45.5463	74.3535	5060.20	3984.24	2843.84	4069.78	51.1188	79.1803	3989.5149
dGRPO_1_5b_1.0_r_norm_dyn_clamp_2.0_id_s32_1_metrics.	5.0000	29.5756	27.8238	78.1940	40.6063	91.2636	19.8704	62.2544	6345.51	6335.62	6350.70	6343.32	23.3251	65.3219	6343.7876
dGRPO_1_5b_1.0_r_norm_dyn_clamp_2.5_id_s32_1_metrics.	7.6042	43.3502	28.8404	81.6375	41.8875	91.5180	20.5833	63.0964	6332.15	6368.48	6350.91	6361.08	24.7288	69.9005	6353.1524
dGRPO_1_5b_1.0_a1_id_s32_1_metrics.	23.4375	58.5467	60.8057	88.1381	74.7375	96.7210	47.4074	74.9977	4893.50	3852.15	2684.58	3772.70	51.5970	79.6009	3800.7309
dGRPO_1_5b_1.0_a2_id_s32_1_metrics.	27.0833	59.1024	63.4789	89.0148	75.2125	96.0903	48.8009	74.5569	4664.57	3828.71	2866.66	3688.90	53.6439	79.6911	3762.2107
dGRPO_1_5b_1.0_a3_id_s32_1_metrics.	26.6667	61.0415	62.7636	88.2270	75.9375	96.3790	49.2037	75.2897	5195.99	4010.62	2772.52	3992.86	53.6429	80.2343	3992.9970
dGRPO_1_5b_1.0_a4_id_s32_1_metrics.	29.4792	62.3776	58.9985	90.4481	72.7000	96.3674	45.6667	75.0910	4811.73	3738.10	2619.50	3745.09	51.7111	81.0710	3728.6056
