run	aime@1	aime@16	aime@32	amc@1	amc@16	amc@32	math@1	math@16	math@32	olympiad_bench@1	olympiad_bench@16	olympiad_bench@32	aime_l	amc_l	math_l	olympiad_bench_l	avg@1	avg@16	avg@32	avg_len
e3_1_5b_grpo_id_s32_1_metrics.	26.2500	67.5941	73.3333	62.5000	90.2238	92.7711	73.9750	95.7995	97.0000	47.4352	74.1062	77.0370	4903.51	3707.90	2586.65	3673.47	52.5400	81.9309	85.0354	3717.8822
e3_1_5b_grpo_2_id_s32_1_metrics.	28.4375	64.9286	70.0000	62.6130	89.9429	91.5663	75.3062	96.7096	97.4000	48.8333	76.6595	80.1481	4922.78	3585.60	2412.52	3595.06	53.7975	82.0602	84.7786	3628.9905
e3_1_5b_e3_id_s32_1_metrics.	26.0417	62.9543	70.0000	61.9729	91.3917	93.9759	76.0250	96.2792	97.4000	49.1343	75.0348	77.7778	4844.48	3630.22	2440.30	3578.67	53.2935	81.4150	84.7884	3623.4187
e3_1_5b_e3_2_id_s32_1_metrics.	31.3542	64.8847	70.0000	61.9352	87.1764	89.1566	74.8062	96.2088	97.2000	48.0741	75.1238	78.5185	5042.84	3706.65	2492.14	3727.21	54.0424	80.8484	83.7188	3742.2115
e3_1_5b_e3_3_id_s32_1_metrics.	27.7083	67.3984	73.3333	61.1446	89.1866	92.7711	73.3125	96.7199	97.8000	45.7037	75.2917	78.8148	4611.94	3416.90	2295.73	3412.06	51.9673	82.1491	85.6798	3434.1606
dGRPO_1_5b_0.00003_id_s32_1_metrics.	23.1250	58.2355	63.3333	59.9398	88.1676	90.3614	72.7062	96.4137	97.4000	45.2824	74.9864	78.0741	5119.44	3960.79	2733.89	3938.14	50.2634	79.4508	82.2922	3938.0656
dGRPO_1_5b_0.00001_id_s32_1_metrics.	34.6875	70.0035	73.3333	64.3449	90.5816	93.9759	77.1000	95.8085	96.6000	49.2315	75.5310	78.3704	4824.92	3527.95	2324.36	3519.21	56.3410	82.9812	85.5699	3549.1076
dgrpo_1_5b_0.00001_2_id_s32_1_metrics.	25.4167	60.3467	66.6667	61.8976	87.1175	89.1566	76.6625	96.7103	97.8000	49.7824	75.3306	78.8148	4745.41	3470.93	2355.96	3365.77	53.4398	79.8763	83.1095	3484.5155
dGRPO_1_5b_0.00001_3_id_s32_1_metrics.	25.9375	58.0131	63.3333	61.1446	88.7802	91.5663	76.1312	95.7636	96.6000	48.9491	74.2490	77.0370	5288.95	4069.52	2817.13	4110.55	53.0406	79.2014	82.1342	4071.5360
dGRPO_1_5b_0.00005_id_s32_1_metrics.	28.3333	62.6564	66.6667	61.4081	88.4235	90.3614	74.8625	95.9398	97.0000	47.8565	75.7073	79.1111	4895.76	3750.38	2531.92	3685.88	53.1151	80.6818	83.2848	3715.9824
