run	arc_c@1	arc_c@16	gpqa_diamond@1	gpqa_diamond@16	mmlu_pro@1	mmlu_pro@16	arc_c_l	gpqa_diamond_l	mmlu_pro_l	avg@1	avg@16	avg_len
e3_1_5b_grpo_ood_s32_1_metrics.	25.1093	87.9205	4.5770	21.2130	16.8304	65.2424	1004.72	3664.06	1762.56	15.5056	58.1253	2143.7795
e3_1_5b_grpo_2_ood_s32_1_metrics.	23.2402	84.1274	4.7822	19.6779	19.0625	67.6713	915.19	3736.23	1714.58	15.6950	57.1589	2122.0022
e3_1_5b_e3_ood_s32_1_metrics.	15.3877	74.8187	4.6717	17.8071	15.2679	60.8507	1026.01	3433.47	1681.95	11.7758	51.1588	2047.1458
e3_1_5b_e3_2_ood_s32_1_metrics.	18.6327	79.8074	4.9242	20.0454	17.5893	59.0735	900.59	3661.24	1798.99	13.7154	52.9754	2120.2723
e3_1_5b_e3_3_ood_s32_1_metrics.	19.1953	81.3961	4.6875	19.5784	15.7143	67.1599	822.81	3364.49	1516.97	13.1990	56.0448	1901.4223
dGRPO_1_5b_0.00003_ood_s32_1_metrics.	18.1634	76.4604	4.6559	20.5378	15.7143	61.6311	954.57	3442.11	1782.42	12.8445	52.8764	2059.6972
dGRPO_1_5b_0.00001_ood_s32_1_metrics.	21.1391	81.2423	5.0505	20.9664	15.6696	65.0376	905.19	3799.27	1653.48	13.9531	55.7488	2119.3139
dgrpo_1_5b_0.00001_2_ood_s32_1_metrics.	25.4053	87.3846	4.4981	19.1772	17.5446	70.0383	876.61	3262.13	1500.24	15.8160	58.8667	1879.6590
dGRPO_1_5b_0.00001_3_ood_s32_1_metrics.	31.4126	91.7883	4.8295	20.8999	21.7411	73.6291	1339.74	3988.55	2046.02	19.3278	62.1058	2458.1053
dGRPO_1_5b_0.00005_ood_s32_1_metrics.	18.2461	80.3289	4.7822	19.4276	14.9107	61.0390	920.49	3247.85	1611.53	12.6463	53.5985	1926.6236
dGRPO_0.5_seqq_norm_ood_s32_1_metrics.	16.3423	75.4654	4.4981	19.8910	13.8393	52.8292	980.88	3455.89	1659.41	11.5599	49.3952	2032.0594
dGRPO_1.0_seqq_norm_ood_s32_1_metrics.	12.7080	66.5276	4.6875	19.0450	12.2321	55.9757	1015.31	3398.64	1806.90	9.8759	47.1828	2073.6158
