run	arc_c@1	arc_c@16	gpqa_diamond@1	gpqa_diamond@16	mmlu_pro@1	mmlu_pro@16	arc_c_l	gpqa_diamond_l	mmlu_pro_l	avg@1	avg@16	avg_len
e3_1_5b_grpo_ood_s32_1_metrics.	25.1093	95.2218	4.5770	25.7576	16.8304	77.1429	1004.72	3664.06	1762.56	15.5056	66.0408	2143.7795
e3_1_5b_grpo_2_ood_s32_1_metrics.	23.2402	92.1502	4.7822	22.7273	19.0625	80.0000	915.19	3736.23	1714.58	15.6950	64.9591	2122.0022
e3_1_5b_e3_ood_s32_1_metrics.	15.3877	88.3959	4.6717	21.7172	15.2679	70.0000	1026.01	3433.47	1681.95	11.7758	60.0377	2047.1458
e3_1_5b_e3_2_ood_s32_1_metrics.	18.6327	91.1263	4.9242	24.2424	17.5893	71.4286	900.59	3661.24	1798.99	13.7154	62.2658	2120.2723
e3_1_5b_e3_3_ood_s32_1_metrics.	19.1953	91.2969	4.6875	23.2323	15.7143	80.0000	822.81	3364.49	1516.97	13.1990	64.8431	1901.4223
dGRPO_1_5b_0.00003_ood_s32_1_metrics.	18.1634	87.2867	4.6559	25.2525	15.7143	72.8571	954.57	3442.11	1782.42	12.8445	61.7988	2059.6972
dGRPO_1_5b_0.00001_ood_s32_1_metrics.	21.1391	90.5290	5.0505	24.7475	15.6696	75.7143	905.19	3799.27	1653.48	13.9531	63.6636	2119.3139
dgrpo_1_5b_0.00001_2_ood_s32_1_metrics.	25.4053	94.2833	4.4981	22.2222	17.5446	84.2857	876.61	3262.13	1500.24	15.8160	66.9304	1879.6590
dGRPO_1_5b_0.00001_3_ood_s32_1_metrics.	31.4126	97.0990	4.8295	26.7677	21.7411	87.1429	1339.74	3988.55	2046.02	19.3278	70.3365	2458.1053
dGRPO_1_5b_0.00005_ood_s32_1_metrics.	18.2461	91.2116	4.7822	22.7273	14.9107	71.4286	920.49	3247.85	1611.53	12.6463	61.7891	1926.6236
dGRPO_0.5_seqq_norm_ood_s32_1_metrics.	16.3423	87.7133	4.4981	23.2323	13.8393	61.4286	980.88	3455.89	1659.41	11.5599	57.4581	2032.0594
dGRPO_1.0_seqq_norm_ood_s32_1_metrics.	12.7080	81.6553	4.6875	22.2222	12.2321	68.5714	1015.31	3398.64	1806.90	9.8759	57.4830	2073.6158
